run,kind,name,batch_size,median_ms,p20_ms,p80_ms,relative_error,maximum_asymmetry
2241582,symmetric_square_baddbmm,torch,1,0.09318400174379349,0.09216000139713287,0.0942080020904541,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_full,1,0.10035199671983719,0.10035199671983719,0.10035199671983719,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_triangular,1,0.08294399827718735,0.08294399827718735,0.08294399827718735,0.0,0.0
2241582,symmetric_gram,torch,1,0.5826560258865356,0.5826560258865356,0.5826560258865356,0.0,0.0
2241582,symmetric_gram,cutlass_triangular,1,0.4567039906978607,0.4556800127029419,0.4567039906978607,0.00036985267070122063,0.0
2241582,full_gns_core,torch,1,3.6372480392456055,3.634176015853882,3.639296054840088,0.0,0.0
2241582,full_gns_core,cutlass_triangular,1,2.9214720726013184,2.9214720726013184,2.9224960803985596,0.0005229203379712999,0.0
2241582,symmetric_square_baddbmm,torch,8,0.6103039979934692,0.6103039979934692,0.6113280057907104,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_full,8,0.5534719824790955,0.5529599785804749,0.5539839863777161,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_triangular,8,0.4055039882659912,0.4044800102710724,0.4055039882659912,0.0,0.0
2241582,symmetric_gram,torch,8,3.967487931251526,3.960832118988037,3.97107195854187,0.0,0.0
2241582,symmetric_gram,cutlass_triangular,8,2.4007679224014282,2.4002559185028076,2.40230393409729,0.0,0.0
2241582,full_gns_core,torch,8,25.14176082611084,25.1279354095459,25.14841651916504,0.0,0.0
2241582,full_gns_core,cutlass_triangular,8,19.04640007019043,19.04025650024414,19.0515193939209,0.0002685164217837155,0.0
2241582,symmetric_square_baddbmm,torch,32,2.5297919511795044,2.5282559394836426,2.530303955078125,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_full,32,2.2179839611053467,2.1964800357818604,2.2231040000915527,0.0,0.0
2241582,symmetric_square_baddbmm,cutlass_triangular,32,1.4981119632720947,1.4970879554748535,1.5011839866638184,0.0,0.0
2241582,symmetric_gram,torch,32,18.680831909179688,18.541568756103516,18.745344161987305,0.0,0.0
2241582,symmetric_gram,cutlass_triangular,32,9.04089641571045,9.02246379852295,9.044992446899414,0.0,0.0
2241582,full_gns_core,torch,32,108.26496124267578,107.96134185791016,108.3473892211914,0.0,0.0
2241582,full_gns_core,cutlass_triangular,32,73.84473419189453,73.77407836914062,73.93075561523438,0.0002711848937906325,0.0
